Animal ID,Name,DateTime,MonthYear,Date of Birth,Outcome Type,Outcome Subtype,Animal Type,Sex upon Outcome,Age upon Outcome,Breed,Color
A812591,Cookie,1/5/2021 17:25,Jan-21,6/26/2019,,,Dog,Spayed Female,1 year,American Bulldog Mix,White/Black
A827712,,1/5/2021 17:47,Jan-21,2/29/2020,,,Dog,Spayed Female,10 months,German Shepherd,Tan/Black
A824110,Bently,1/5/2021 18:06,Jan-21,10/6/2018,Adoption,,Dog,Neutered Male,2 years,Pit Bull Mix,Blue/White
A827821,,1/5/2021 18:14,Jan-21,12/31/2018,Adoption,,Dog,Neutered Male,2 years,Chihuahua Shorthair,White/Brown
A797116,Zola,1/6/2021 10:43,Jan-21,6/9/2013,Adoption,Foster,Dog,Spayed Female,7 years,Australian Cattle Dog/Labrador Retriever,Black/White
A827699,Freya,1/6/2021 11:19,Jan-21,7/29/2020,Adoption,,Dog,Spayed Female,5 months,Australian Cattle Dog,Brown Brindle/White
A827811,,1/6/2021 11:35,Jan-21,1/1/2014,Transfer,Partner,Dog,Neutered Male,7 years,Miniature Poodle,White
A824835,*Kodiak,1/6/2021 11:59,Jan-21,4/22/2020,Adoption,Foster,Dog,Neutered Male,8 months,German Shepherd/Alaskan Husky,Black/Brown
A827936,,1/6/2021 12:38,Jan-21,3/4/2020,Return to Owner,,Dog,Intact Male,10 months,Miniature Schnauzer Mix,Black
A812265,*Kipo,1/6/2021 12:58,Jan-21,7/18/2018,Adoption,Foster,Dog,Neutered Male,2 years,Pit Bull,Blue/White
A815074,Victor,1/6/2021 13:32,Jan-21,3/10/2006,Adoption,Foster,Dog,Neutered Male,14 years,Rat Terrier,Tricolor
A828021,Hax,1/6/2021 13:48,Jan-21,1/5/2010,Return to Owner,,Dog,Intact Female,11 years,Siberian Husky,Black/White
A823661,Apollo Buddy,1/6/2021 15:09,Jan-21,12/28/2019,Return to Owner,,Dog,Intact Male,1 year,Dachshund/Chihuahua Shorthair,Brown
A827482,*Mo,1/6/2021 15:10,Jan-21,12/22/2017,Adoption,,Dog,Neutered Male,3 years,German Shepherd Mix,Tan/Black
A813682,Jax,1/6/2021 16:05,Jan-21,8/16/2018,Adoption,,Dog,Neutered Male,2 years,Siberian Husky,Gray/Black
A827738,*Maggie,1/6/2021 16:05,Jan-21,12/30/2018,Adoption,,Dog,Spayed Female,2 years,Great Dane,Black/White
A827973,,1/6/2021 16:05,Jan-21,9/4/2020,Adoption,,Dog,Spayed Female,4 months,Basset Hound Mix,White/Black
A827824,*Cowboy,1/6/2021 16:29,Jan-21,10/31/2020,Adoption,,Dog,Neutered Male,2 months,Pit Bull,Chocolate
A827807,*Riley,1/6/2021 16:56,Jan-21,12/31/2017,Adoption,,Dog,Spayed Female,3 years,Beagle/Dachshund,Red Tick
A827574,*Speedy,1/6/2021 17:40,Jan-21,3/28/2020,Adoption,,Dog,Neutered Male,9 months,Basenji/Australian Kelpie,Tricolor
A825076,*Nova,1/6/2021 17:51,Jan-21,10/27/2018,Adoption,,Dog,Spayed Female,2 years,Australian Kelpie/Siberian Husky,Brown Brindle/White
A819285,Percy,1/6/2021 17:51,Jan-21,6/25/2018,Adoption,,Dog,Neutered Male,2 years,American Pit Bull Terrier,Brown/White
A826714,Roxy,1/6/2021 17:59,Jan-21,12/4/2018,Return to Owner,,Dog,Intact Female,2 years,Black Mouth Cur,Brown/White
A828017,Noodle,1/6/2021 18:00,Jan-21,1/5/2019,Return to Owner,,Dog,Intact Female,2 years,Chihuahua Shorthair/Dachshund,Fawn/White
A828016,,1/7/2021 11:00,Jan-21,11/20/2020,Transfer,Partner,Dog,Intact Male,1 month,Labrador Retriever,Black/White
A828014,,1/7/2021 11:00,Jan-21,11/20/2020,Transfer,Partner,Dog,Intact Female,1 month,Labrador Retriever,White/Black
A828015,,1/7/2021 11:00,Jan-21,11/20/2020,Transfer,Partner,Dog,Intact Female,1 month,Labrador Retriever,White/Black
A827801,,1/7/2021 11:09,Jan-21,7/1/2020,Adoption,,Dog,Neutered Male,6 months,Labrador Retriever Mix,White/Brown
A828068,Binky,1/7/2021 12:22,Jan-21,1/6/2019,Return to Owner,,Dog,Intact Female,2 years,Miniature Poodle/Maltese,Black
A828065,Elliot,1/7/2021 12:23,Jan-21,1/6/2019,Return to Owner,,Dog,Intact Male,2 years,Miniature Poodle/Maltese,Black
A777512,Envy,1/7/2021 12:31,Jan-21,3/29/2018,Return to Owner,,Dog,Intact Female,2 years,Siberian Husky/German Shepherd,Black/Tan
A761479,Baby Girl,1/7/2021 13:19,Jan-21,3/6/2017,Transfer,Partner,Dog,Spayed Female,3 years,Doberman Pinsch Mix,Black/Brown
A826920,Zel,1/7/2021 14:27,Jan-21,8/19/2020,Adoption,,Dog,Spayed Female,4 months,German Shepherd,Black/Brown
A789186,Finn,1/7/2021 14:58,Jan-21,2/19/2017,Adoption,Foster,Dog,Neutered Male,3 years,Australian Shepherd/Border Collie,Black/Tricolor
A827888,,1/7/2021 15:06,Jan-21,6/3/2020,Transfer,Partner,Dog,Intact Male,7 months,Pit Bull,Brown/White
A825788,Tiny,1/7/2021 15:07,Jan-21,11/12/2018,Adoption,Foster,Dog,Spayed Female,2 years,Chihuahua Shorthair,Brown/White
A825789,*Randy,1/7/2021 15:10,Jan-21,11/6/2020,Adoption,Foster,Dog,Neutered Male,2 months,Chihuahua Shorthair Mix,Brown/White
A827910,*Barkley,1/7/2021 16:23,Jan-21,1/3/2019,Transfer,Partner,Dog,Neutered Male,2 years,Chihuahua Shorthair,Brown
A828107,Luna,1/7/2021 17:18,Jan-21,1/7/2017,Return to Owner,,Dog,Spayed Female,4 years,Great Dane Mix,Black/White
A828106,Asher,1/7/2021 17:19,Jan-21,1/7/2020,Return to Owner,,Dog,Neutered Male,1 year,Labrador Retriever Mix,Black/White
A827898,*Charlie,1/7/2021 17:24,Jan-21,8/12/2020,Adoption,,Dog,Spayed Female,4 months,Border Collie/Australian Cattle Dog,White/Black
A827972,*Owen,1/7/2021 17:38,Jan-21,10/6/2020,Adoption,,Dog,Neutered Male,3 months,Pointer Mix,White/Blue Tick
A827536,*Bones,1/7/2021 18:05,Jan-21,12/24/2017,Adoption,,Dog,Neutered Male,3 years,German Shepherd Mix,White
A800486,Chase,1/8/2021 10:34,Jan-21,7/23/2018,Euthanasia,Court/Investigation,Dog,Neutered Male,2 years,German Shepherd/Australian Kelpie,Black/Tan
A784348,Charley,1/8/2021 11:23,Jan-21,5/14/2018,Adoption,,Dog,Neutered Male,2 years,Labrador Retriever/Pit Bull,Brown/White
A828066,Aero,1/8/2021 11:56,Jan-21,1/6/2019,Transfer,Partner,Dog,Intact Male,2 years,Papillon/Chihuahua Longhair,White/Tricolor
A748768,Abby,1/8/2021 12:13,Jan-21,3/6/2017,Adoption,Foster,Dog,Spayed Female,3 years,Plott Hound Mix,Brown Brindle/White
A821282,*Mouse,1/8/2021 12:19,Jan-21,8/7/2017,Adoption,,Dog,Spayed Female,3 years,Pit Bull,Blue
A827877,*Silas,1/8/2021 12:52,Jan-21,1/2/2013,Adoption,,Dog,Neutered Male,8 years,Chihuahua Shorthair Mix,Black/White
A827954,,1/8/2021 12:59,Jan-21,1/4/2019,Transfer,Partner,Dog,Intact Female,2 years,Labrador Retriever/German Shepherd,Brown
A827550,Tigga,1/8/2021 12:59,Jan-21,12/28/2015,Return to Owner,,Dog,Neutered Male,5 years,Labrador Retriever/Pit Bull,Red/White
A827824,*Cowboy,1/8/2021 13:16,Jan-21,10/31/2020,Adoption,,Dog,Neutered Male,2 months,Pit Bull,Chocolate
A827295,*Puddin,1/8/2021 14:48,Jan-21,6/17/2019,Adoption,,Dog,Spayed Female,1 year,Pit Bull,White/Tan
A827867,,1/8/2021 15:56,Jan-21,1/4/2019,Transfer,Partner,Dog,Neutered Male,2 years,Chihuahua Shorthair/Dachshund,Black/Brown Brindle
A828098,Bentley,1/8/2021 16:07,Jan-21,1/7/2019,Return to Owner,,Dog,Neutered Male,2 years,Pit Bull,Gray/White
A828102,Rosa,1/8/2021 16:08,Jan-21,1/7/2019,Return to Owner,,Dog,Intact Female,2 years,Pit Bull,Brown Brindle
A828152,Steel,1/8/2021 17:36,Jan-21,1/8/2018,Return to Owner,,Dog,Intact Male,3 years,Pit Bull,Blue/White
A821191,*Cody,1/8/2021 17:43,Jan-21,3/6/2020,Adoption,,Dog,Neutered Male,10 months,American Foxhound Mix,White/Brown
A594659,Xander,1/9/2021 7:06,Jan-21,9/10/2009,Euthanasia,At Vet,Dog,Neutered Male,11 years,Labrador Retriever Mix,Black/White
A828018,,1/9/2021 9:30,Jan-21,1/5/2019,Euthanasia,Suffering,Dog,Unknown,2 years,German Shepherd Mix,Tan
A825791,*Soda-Pop,1/9/2021 11:25,Jan-21,11/6/2020,Adoption,Foster,Dog,Neutered Male,2 months,Chihuahua Shorthair Mix,Brown/White
A827405,Jack,1/9/2021 11:27,Jan-21,12/20/2012,Adoption,,Dog,Neutered Male,8 years,Labrador Retriever/Boxer,Brown/White
A825792,*Sesame,1/9/2021 11:32,Jan-21,11/6/2020,Adoption,Foster,Dog,Intact Female,2 months,Chihuahua Shorthair,Brown/White
A827414,*Herbie,1/9/2021 13:07,Jan-21,5/28/2020,Adoption,,Dog,Neutered Male,7 months,Pit Bull,Black/White
A821476,Thomas,1/9/2021 16:31,Jan-21,2/12/2019,Adoption,,Dog,Neutered Male,1 year,Labrador Retriever Mix,Black/White
A827969,,1/9/2021 17:52,Jan-21,1/4/2019,Adoption,,Dog,Spayed Female,2 years,Pointer/Australian Cattle Dog,White/Brown Brindle
A827314,Rowdy,1/10/2021 11:43,Jan-21,12/18/2012,Adoption,,Dog,Neutered Male,8 years,Border Collie Mix,Black/White
A827315,Atticus,1/10/2021 11:43,Jan-21,12/18/2011,Adoption,,Dog,Neutered Male,9 years,Labrador Retriever,Chocolate
A828035,,1/10/2021 12:06,Jan-21,7/22/2020,Transfer,Partner,Dog,Intact Female,5 months,Labrador Retriever/Collie Smooth,Brown/White
A792883,*Lady Blue,1/11/2021 11:38,Jan-21,4/16/2017,Transfer,Partner,Dog,Spayed Female,3 years,Pit Bull Mix,Blue/White
A825249,*Peanut,1/11/2021 11:39,Jan-21,10/30/2018,Transfer,Partner,Dog,Spayed Female,2 years,Australian Cattle Dog Mix,Brown Brindle/White
A827404,Benny,1/11/2021 11:54,Jan-21,1/5/2011,Adoption,,Dog,Neutered Male,10 years,Labrador Retriever,Black/White
A828067,,1/11/2021 13:20,Jan-21,1/6/2019,Transfer,Partner,Dog,Neutered Male,2 years,Chihuahua Shorthair,Cream/Gold
A827991,*Seymour,1/11/2021 13:20,Jan-21,1/5/2019,Transfer,Partner,Dog,Intact Male,2 years,Scottish Terrier/Dachshund,Tan
A825602,Beethoven,1/11/2021 14:20,Jan-21,4/7/2020,Adoption,,Dog,Neutered Male,9 months,German Shepherd Mix,Tan/Black
A827906,*Mr Spock,1/11/2021 15:24,Jan-21,1/3/2019,Adoption,,Dog,Neutered Male,2 years,Blue Lacy Mix,Brown
A814224,Gizmo,1/11/2021 15:53,Jan-21,2/26/2018,Adoption,,Dog,Neutered Male,2 years,Labrador Retriever,Red/White
A825881,Bosco,1/11/2021 16:55,Jan-21,9/13/2020,Adoption,,Dog,Neutered Male,3 months,Bull Terrier Mix,Brown Brindle/White
A828027,Sunshine,1/11/2021 17:06,Jan-21,11/5/2020,Adoption,,Dog,Spayed Female,2 months,Chinese Sharpei/German Shepherd,Brown/Black
A826298,Harley,1/11/2021 17:23,Jan-21,11/23/2017,Adoption,,Dog,Spayed Female,3 years,Australian Kelpie Mix,Brown/Black
A828224,Bimbo,1/11/2021 17:40,Jan-21,1/11/2013,Transfer,Partner,Dog,Intact Male,8 years,Pomeranian Mix,Red/Tan
A828225,Bambi,1/11/2021 17:41,Jan-21,1/11/2013,Transfer,Partner,Dog,Intact Female,8 years,Pomeranian Mix,Tan
A828132,,1/11/2021 18:06,Jan-21,1/8/2018,Return to Owner,,Dog,Intact Male,3 years,German Shepherd,Brown/Black
A828131,,1/11/2021 18:06,Jan-21,1/8/2018,Return to Owner,,Dog,Intact Female,3 years,German Shepherd,Black/Brown
A826981,Baby Girl,1/12/2021 12:22,Jan-21,12/10/2012,Transfer,Partner,Dog,Intact Female,8 years,Labrador Retriever,Black
A827209,*Bones,1/12/2021 12:25,Jan-21,12/16/2018,Transfer,Partner,Dog,Neutered Male,2 years,Australian Cattle Dog Mix,Tricolor
A827523,*Simon,1/12/2021 12:26,Jan-21,12/23/2018,Transfer,Partner,Dog,Neutered Male,2 years,Boxer,Red/Black
A827302,*Tati,1/12/2021 12:26,Jan-21,12/18/2018,Transfer,Partner,Dog,Intact Female,2 years,Labrador Retriever Mix,Brown/White
A827343,Sushi,1/12/2021 12:27,Jan-21,2/18/2020,Transfer,Partner,Dog,Neutered Male,10 months,Catahoula Mix,Brown Merle/White
A826195,*Waylon,1/12/2021 12:42,Jan-21,11/25/2009,Adoption,Foster,Dog,Neutered Male,11 years,Beagle,Brown
A820280,Xerxes,1/12/2021 14:30,Jan-21,7/16/2018,Adoption,Foster,Dog,Neutered Male,2 years,German Shepherd,White/Yellow
A825790,*Wolfie,1/12/2021 14:40,Jan-21,11/6/2020,Adoption,Foster,Dog,Spayed Female,2 months,Chihuahua Shorthair Mix,Tan
A828070,*Tucker,1/12/2021 17:49,Jan-21,10/22/2020,Adoption,,Dog,Neutered Male,2 months,Labrador Retriever Mix,Black/White
A815695,King,1/12/2021 17:59,Jan-21,12/8/2019,Return to Owner,,Dog,Neutered Male,1 year,German Shepherd,Brown
A700839,*Turkey,1/12/2021 18:07,Jan-21,4/20/2014,,,Dog,Neutered Male,6 years,Pit Bull Mix,Blue
A702464,Bella,1/13/2021 10:11,Jan-21,5/14/2012,Adoption,Foster,Dog,Spayed Female,8 years,Great Pyrenees Mix,White/Brown
A826154,,1/13/2021 13:29,Jan-21,10/20/2020,Adoption,Foster,Dog,Neutered Male,2 months,Pit Bull Mix,Chocolate/White
A825801,*Hero,1/13/2021 14:07,Jan-21,11/12/2011,Adoption,Foster,Dog,Neutered Male,9 years,Labrador Retriever/Australian Shepherd,Tricolor
A828206,Baby,1/13/2021 14:31,Jan-21,7/11/2020,Return to Owner,,Dog,Intact Female,6 months,Flat Coat Retriever Mix,Black/White
A820012,Sadie Mae,1/13/2021 16:03,Jan-21,10/9/2019,Return to Owner,,Dog,Spayed Female,1 year,Labrador Retriever,Black/White
A820013,Doobie,1/13/2021 16:03,Jan-21,10/9/2019,Return to Owner,,Dog,Neutered Male,1 year,Labrador Retriever/Pit Bull,Black/White
A828109,Layla,1/13/2021 17:38,Jan-21,1/7/2019,Return to Owner,,Dog,Spayed Female,2 years,Basenji Mix,Black/White
A828288,Rocky,1/13/2021 17:46,Jan-21,1/12/2020,Return to Owner,,Dog,Intact Male,1 year,Jack Russell Terrier Mix,Brown/White
A828117,*Icee,1/13/2021 17:50,Jan-21,1/8/2020,Adoption,,Dog,Spayed Female,1 year,Border Collie Mix,White
A828176,Zeus,1/13/2021 18:03,Jan-21,9/9/2020,Adoption,,Dog,Neutered Male,4 months,German Shepherd,Black/Tan
A726659,Harris,1/14/2021 8:17,Jan-21,4/7/2016,Adoption,Foster,Dog,Neutered Male,4 years,Queensland Heeler Mix,Red Tick
A824927,*Samantha,1/14/2021 10:24,Jan-21,10/23/2019,Adoption,Foster,Dog,Spayed Female,1 year,Blue Lacy Mix,Blue
A828199,,1/14/2021 14:05,Jan-21,1/10/2020,Transfer,Partner,Dog,Intact Male,1 year,Siberian Husky,Tan/White
A827645,Lulu,1/14/2021 15:21,Jan-21,7/28/2020,Adoption,,Dog,Spayed Female,5 months,Catahoula Mix,White/Brown
A827249,*Tofu,1/14/2021 15:22,Jan-21,12/17/2018,Adoption,,Dog,Neutered Male,2 years,Boxer,Brown/White
A828160,Smokey,1/14/2021 16:35,Jan-21,7/9/2020,Adoption,,Dog,Neutered Male,6 months,Labrador Retriever/German Shepherd,Tan
A828082,*Falcor,1/14/2021 16:36,Jan-21,1/7/2019,Adoption,,Dog,Neutered Male,2 years,Anatol Shepherd Mix,Tan
A827992,Luna,1/14/2021 17:28,Jan-21,11/5/2020,Adoption,,Dog,Spayed Female,2 months,Catahoula Mix,White/Tan
A806718,Canelo,1/14/2021 17:31,Jan-21,3/29/2019,Return to Owner,,Dog,Neutered Male,1 year,Miniature Poodle/Maltese,Tan/White
A806716,Sharkie,1/14/2021 17:39,Jan-21,10/29/2016,Return to Owner,,Dog,Neutered Male,4 years,Miniature Poodle/Maltese,Tan/White
A816200,Paloma,1/14/2021 17:39,Jan-21,4/9/2018,Return to Owner,,Dog,Spayed Female,2 years,Maltese,White/Brown
A827462,Diogi,1/15/2021 11:42,Jan-21,12/30/2017,Rto-Adopt,,Dog,Neutered Male,3 years,Vizsla Mix,Red
A828229,,1/15/2021 12:15,Jan-21,3/11/2020,Transfer,Partner,Dog,Spayed Female,10 months,Chihuahua Shorthair,Brown/White
A828241,Tyson,1/15/2021 12:15,Jan-21,3/11/2020,Transfer,Partner,Dog,Intact Male,10 months,Pomeranian Mix,Tan/Black
A828228,,1/15/2021 12:15,Jan-21,7/11/2020,Transfer,Partner,Dog,Neutered Male,6 months,Border Terrier,Brown/Tan
A813546,Milo,1/15/2021 13:07,Jan-21,8/13/2018,Transfer,Partner,Dog,Neutered Male,2 years,Chihuahua Shorthair Mix,White/Tan
A828315,Helen,1/15/2021 13:07,Jan-21,8/13/2019,Transfer,Partner,Dog,Intact Female,1 year,Chihuahua Shorthair,White/Tan
A828325,Sissie,1/15/2021 15:46,Jan-21,10/13/2008,Return to Owner,,Dog,Spayed Female,12 years,Basset Hound,White/Brown
A698833,*Quiche,1/15/2021 15:50,Jan-21,11/18/2014,Adoption,,Dog,Spayed Female,6 years,Pointer/Pit Bull,White/Chocolate
A764206,Hachi,1/15/2021 15:54,Jan-21,12/24/2016,Adoption,,Dog,Neutered Male,4 years,Siberian Husky,Black/Gray
A828397,,1/15/2021 16:00,Jan-21,1/15/2020,Transfer,Partner,Dog,Intact Female,1 year,Labrador Retriever Mix,Brown
A826840,*Queenie,1/15/2021 16:15,Jan-21,11/15/2020,Adoption,,Dog,Spayed Female,1 month,Labrador Retriever Mix,Black/White
A827667,Piper,1/15/2021 16:45,Jan-21,12/28/2018,Adoption,,Dog,Spayed Female,2 years,Siberian Husky,Gray/Black
A822039,*Prescott,1/15/2021 16:47,Jan-21,8/25/2018,Adoption,,Dog,Neutered Male,2 years,Pit Bull,White/Black
A722253,Queenie,1/15/2021 16:49,Jan-21,3/13/2014,Adoption,,Dog,Spayed Female,6 years,Australian Cattle Dog Mix,Red
A809343,Sage,1/15/2021 16:52,Jan-21,8/22/2019,Adoption,,Dog,Neutered Male,1 year,Labrador Retriever/German Shepherd,Brown
A827866,*Gromit,1/15/2021 17:29,Jan-21,1/2/2019,Adoption,,Dog,Neutered Male,2 years,Great Dane Mix,Brown/White
A814754,Sam,1/15/2021 18:01,Jan-21,4/1/2016,Rto-Adopt,,Dog,Neutered Male,4 years,Pit Bull,Brown/White
A823984,Chucho,1/15/2021 18:11,Jan-21,10/3/2017,Adoption,,Dog,Neutered Male,3 years,Labrador Retriever/Golden Retriever,Buff
A824342,Ghost,1/15/2021 18:18,Jan-21,4/12/2014,Adoption,,Dog,Neutered Male,6 years,Alaskan Husky/German Shepherd,Sable/White
A828063,Rex,1/16/2021 11:11,Jan-21,1/6/2018,Return to Owner,,Dog,Neutered Male,3 years,Chihuahua Shorthair,Brown/Tan
A828061,Saily,1/16/2021 11:12,Jan-21,1/6/2019,Return to Owner,,Dog,Intact Female,2 years,Lhasa Apso/Miniature Poodle,Gray/Black
A827660,Marshall,1/16/2021 11:25,Jan-21,12/28/2018,Adoption,,Dog,Neutered Male,2 years,Labrador Retriever/Great Pyrenees,White/Tan
A827659,Zuma,1/16/2021 11:25,Jan-21,12/28/2018,Adoption,,Dog,Neutered Male,2 years,Labrador Retriever Mix,Tan/White
A827325,Hashy,1/16/2021 13:45,Jan-21,6/18/2017,Adoption,,Dog,Spayed Female,3 years,Labrador Retriever,Black
A828293,,1/16/2021 14:07,Jan-21,10/12/2020,Transfer,Partner,Dog,Intact Male,3 months,Dachshund Wirehair/Chihuahua Shorthair,Tan/White
A828292,,1/16/2021 14:07,Jan-21,10/12/2020,Transfer,Partner,Dog,Intact Female,3 months,Dachshund Wirehair/Chihuahua Shorthair,White/Tan
A828439,,1/16/2021 16:40,Jan-21,5/16/2020,Euthanasia,Suffering,Dog,Intact Female,8 months,Great Pyrenees,White/Black
A828214,Olive,1/16/2021 17:17,Jan-21,1/11/2020,Adoption,,Dog,Spayed Female,1 year,Pit Bull/Boxer,Brown/Black
A828445,Blue,1/17/2021 13:33,Jan-21,1/16/2019,Return to Owner,,Dog,Intact Male,2 years,Boxer,Brown/White
A827990,*Sky,1/17/2021 13:34,Jan-21,8/5/2020,Adoption,,Dog,Spayed Female,5 months,German Shorthair Pointer/American Pit Bull Terrier,Liver/Blue
A828235,,1/17/2021 13:36,Jan-21,7/11/2019,Rto-Adopt,,Dog,Spayed Female,1 year,Labrador Retriever Mix,Black/White
